지역구,관광지명,정제키워드
강서구,강서체육공원,"체육공원역, 실내수영장, 헬스장, 개장, 경기장, 잔디밭, 체육, 테니스장, 구경, 캠핑장, 핫플, 종목, 운동장, 면적, 일찍, 연습장, 만끽, 주차공간, 부지, 야구장, 조깅, 농구장, 센터, 여러가지, 배경,  이용권, 클럽, 선착순"
강서구,맥도생태공원,"게이트볼, 운동장, 테니스장, 간이, 외곽, 농구장, 인증샷, 인라인스케이트장, 공식, 주심, 대회, 지점, 게임, 갯벌, 코너, 기록, 성지, 굿데이, 표지판, 둘레길, 축구장"
강서구,대저생태공원,"야외, 핑크뮬리, 유채꽃, 주차공간, 당일치기, 전용, 봄철, 스팟, 캠핑장, 관광, 초벌, 개화, 만끽, 마편초, 나들이, 전망대, 인생샷, 초록빛, 갓길, 동영상, 벚꽃놀이, 구포역, 맛집, 일찍, 라이딩, 후다닥, 대여 , 초입, 탐방, 만평"
금정구,서동미로시장,"재래시장, 분식집, 단골, 미로, 가게, 학창시절, 음식점, 골목, 분식점, 떡볶이, 먹음, 쫄깃쫄깃, 어묵, 가야, 아주머니, 먹거리, 상권, 맛집, 구경, 존맛, 노포, 돼지국밥, 장통, 점포, 역사, 미가, 새우젓, 인심, 상인, 마트, 국밥집, 시장, 추억, 단돈"
금정구,회동수원지,"카페라떼, 선유도, 휴양처, 데이트, 무릉도원, 전망대, 음식점, 브런치, 고요한, 커피한잔, 추억, 갈맷길, 갈수, 카페, 주차공간, 꿀맛, 음료, 스팟, 취향, 정자, 라떼, 맑은, 탐방, 웨이팅, 크로와상, 쇼콜라, 운치, 전용, 휴식, 본점, 티라미수"
금정구,범어사,"단풍, 금정산, 암자, 산책길, 관광, 천왕문, 산행, 통도사, 한용운, 화엄종, 데이트, 동래, 국립공원, 템플스테이, 탐방, 약수터, 경내, 금강로, 명산, 선문, 청련암, 석가탄신일, 문무왕, 사천왕, 브런치, 남산동, 숲속, 산새, 삼국유사, 백숙, 늦가을, 맛집, 산사, 단풍나무, 여행,"
금정구,금정산성,"맛집, 동래산성, 금죽헌, 금정산, 간도, 오리탕, 전설, 산미, 밥집, 보양식, 존맛, 방갈로, 경험, 금샘, 본점, 입맛, 브런치, 먹음, 염소고기, 향토, 말차, 북문로, 비빔국수, 도토리묵, 진액, 추억, 양조장"
기장군,야구등대,"맛집, 칠암항, 갈맷길, 롯데, 밀크, 북단, 테이크아웃, 단골, 전망대, 데이트, 먹음, 테트라포트, 입맛, 베이커리, 동백항, 맛보기, 웨이팅, 글로브, 음산, 별로, 탐방, 라떼, 달달, 내항, 횟감, 본점, 야구장, 고리원전"
기장군,부산프리미엄아울렛,"백화점, 나이키, 롯데, 나들이, 득템, 운동복, 호텔, 명절, 품절, 쇼핑몰, 방문객, 리뉴얼, 타미힐피거, 빈폴, 신세계, 오픈런, 라운지, 버거, 음식점, 유행, 지점, 천원, 놀이기구, 사이즈, 마켓, 외국"
기장군,부산치유의숲,"산행, 자연휴양림, 오르다, 단풍나무, 산숲, 회복, 탐방, 갈맷길, 트레킹, 하산, 등산로, 장산, 나들이, 숲길, 자락, 휴양림, 등산, 더위, 산책길, 야외, 휴양, 발걸음, 둘레길, 전망대, 만끽, 숲터, 수목원, 정상, 산길, 상수리나무"
기장군,일광해수욕장,"해수욕, 기장해안로, 조개, 휴가, 산낙지, 물놀이, 해수욕장, 먹음, 잡기, 물회, 붕장어, 바다로, 여름, 가족, 바닷가, 바닷물, 해산물, 리조트, 갈매기, 갈맷길, 맑은, 말미잘, 만끽, 가리비, 물고기, 일몰, 매운탕, 살코기, 해먹, 파라솔, 모래사장, 해변"
기장군,장안사,"방갈로, 맛집, 장안사대웅전, 보양식, 밥집, 백련암, 여름, 주차공간, 오리고기, 약수터, 겉절이, 스파, 식당, 라면, 백숙, 본가, 열반, 절정, 매운탕, 사천왕, 가짓수, 전골, 암자, 닭볶음탕, 가면, 물놀이, 협칸, 입맛, 단골, 천왕문, 평상, 휴가, 음식점"
기장군,안데르센마을,"숙박시설, 극장, 헨젤과그레텔, 개장, 사전예약, 들락날락, 관광객, 동화작가, 촬영소, 창문, 게르, 계단, 테마, 상영, 놀이기구, 박물관, 어린이집, 점심시간, 전망대, 기차, 트리하우스, 만원, 개관, 이야기, 한여름, 상상, 음악회, 선착순, 겨울, 식당, 건물, 캠핑장, 주차공간, 자유, "
기장군,아홉산숲,"자연휴양림, 식사, 나들이, 가족, 입산, 당일치기, 달달, 맛집, 단풍나무, 데이트, 절경, 보리차, 휴가, 산행, 산책길, 순우리말, 거제도, 해먹, 펜션, 동반, 바닷가, 당간지주, 한여름, 가을, 입맛, 회식, 동래, 유원지, 불고기,"
기장군,임랑해수욕장,"해맞이로, 새벽, 해돋이,  첫날, 바다색, 휴일, 하늘, 일찍, 동해안, 보리멸, 겨울, 월내역, 걱정, 달이, 새해, 브런치, 해송, 일몰, 아침, 자고, 연인, 당일치기, 갈맷길, 수평선, 간절곶, 일정, 차박, 나들이, 입질"
남구,이기대도시자연공원,"바다색, 절경, 해안로, 휴가, 해수욕장, 갯바위, 갈맷길, 갈매기, 트래킹, 바닷가, 바다로, 나들이, 일몰, 이기대, 구름다리, 남포동, 바다장어, 오르락, 여행, 동백섬, 해안가, 해양, 먹음, 바다, 여름, 맑은, 해안선"
남구,부산항대교,"캠핑장,  남항, 경치, 카라반, 호텔, 등대, 방파제, 마리나, 놀이기구, 야경, 절영도, 맛집,  야영장, 남항대교, 캠퍼, 북항대교, 관광객, 동백섬, 데크, 달맞이, 정박, 지도, 도개, 주택, 해질녘, 해수욕장"
